分詞,詞性,句法,變調
"彼-號｜Hit-lō ……｜...
","['Na', 'Na']",(ROOT (IP (NP (NR 彼-號｜Hit-lō)) (PU ……｜...))),"['規則變調', '本調#', '毋是台語']"
"彼-號-嘿｜Hit-lō-heh ……｜...
","['Na', 'Na']",(ROOT (IP (NP (NR 彼-號-嘿｜Hit-lō-heh)) (PU ……｜...))),"['規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá 講｜kóng ……｜...
","['Na', 'Na', 'Na']",(ROOT (IP (NP (PN 我｜Guá)) (VP (VV 講｜kóng)) (PU ……｜...))),"['規則變調', '本調#', '毋是台語']"
"哭｜Khàu ……｜... 你｜Lí 到-底｜tàu-té 是｜sī 拜-幾｜pài-kuí 欲｜beh 來｜lâi ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 哭｜Khàu)
      (PU ……｜...)
      (IP
        (NP (PN 你｜Lí))
        (VP
          (ADVP (AD 到-底｜tàu-té))
          (VP
            (VC 是｜sī)
            (VP
              (QP (CD 拜-幾｜pài-kuí))
              (VP (VRD (VV 欲｜beh) (VV 來｜lâi))))))))
    (PU ？｜?)))","['規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '本調#', '毋是台語']"
"姦｜Kàn ……｜... 你｜Lí 是｜sī 咧｜leh 講｜kóng 啥-潲｜siánn-siâu ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 姦｜Kàn))
    (PU ……｜...)
    (NP (PN 你｜Lí))
    (VP
      (VC 是｜sī)
      (IP (NP (NN 咧｜leh)) (VP (VV 講｜kóng) (NP (NN 啥-潲｜siánn-siâu)))))
    (PU ？｜?)))","['規則變調', '毋是台語', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '本調#', '毋是台語']"
"無｜Bô 你｜lí 是｜sī 咧｜leh 哭-爸｜khàu-pē 啥-啦｜siann2-lah ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (CP
    (IP
      (VP
        (VE 無｜Bô)
        (IP
          (NP (PN 你｜lí))
          (VP (VC 是｜sī) (VP (VV 咧｜leh) (NP (NN 哭-爸｜khàu-pē)))))))
    (SP 啥-啦｜siann2-lah)
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá 聽｜thiann 你｜lí 咧｜leh 哭-枵｜khàu-iau 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 我｜Guá))
    (VP
      (VV 聽｜thiann)
      (NP (PN 你｜lí))
      (IP (VP (VV 咧｜leh) (NP (NN 哭-枵｜khàu-iau)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '本調#', '毋是台語']"
"姦｜Kàn 恁｜lín ……｜... 雄-雄｜Hiông-hiông 出-聲｜tshut-siann 是｜sī 咧｜leh 創｜tshòng 啥-啦｜siánn-lah ！｜!
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (CP
    (IP
      (ADVP (AD 姦｜Kàn))
      (NP
        (ADJP (JJ 恁｜lín))
        (PU ……｜...)
        (ADJP (JJ 雄-雄｜Hiông-hiông))
        (NP (VV 出-聲｜tshut-siann)))
      (VP (VC 是｜sī) (VP (ADVP (AD 咧｜leh)) (VP (VV 創｜tshòng)))))
    (SP 啥-啦｜siánn-lah)
    (PU ！｜!)))","['規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '本調#', '毋是台語']"
"昨-暝｜Tsa-mê 阮｜gún 囝-婿｜kiánn-sài 煮｜tsú 甲｜kah 歹-食｜pháinn-tsia̍h 甲｜kah 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NP (NR 昨-暝｜Tsa-mê) (NR 阮｜gún)) (NP (NN 囝-婿｜kiánn-sài)))
    (VP (VV 煮｜tsú) (NP (NN 甲｜kah) (NN 歹-食｜pháinn-tsia̍h) (NN 甲｜kah)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 按-呢｜án-ne 講｜kóng ，｜, 聽｜thiann 一-下｜tsi̍t-ē 有-影｜ū-iánn 氣｜khì 甲｜kah 。｜.
","['Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (FLR (SP 按-呢｜án-ne))
    (VP
      (VP (VV 講｜kóng))
      (PU ，｜,)
      (VP
        (VV 聽｜thiann)
        (ADVP (AD 一-下｜tsi̍t-ē))
        (IP (VP (VV 有-影｜ū-iánn) (NP (NN 氣｜khì) (NN 甲｜kah))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
