分詞,詞性,句法,變調
"紅-嬰-仔｜ang5-enn1-a2 哭｜khau3 甲｜kah4 一｜tsit8 身-軀｜sin1-khu1 汗｜kuann7 。｜.
","['VH', 'VA', 'DE', 'Neu', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NN 紅-嬰-仔｜ang5-enn1-a2)
        (NN 哭｜khau3)
        (NN 甲｜kah4)
        (NN 一｜tsit8)
        (NN 身-軀｜sin1-khu1)
        (NN 汗｜kuann7)))
    (PU 。｜.)))","['規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"𪜶｜in1 兩｜nng7 个｜e5 生-做｜senn1-tso3 一-模-一-樣｜it4-boo5-it4-iunn7 。｜.
","['Nh', 'Neu', 'Nf', 'VC', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 𪜶｜in1)
      (IP
        (VP
          (VV 兩｜nng7)
          (IP
            (VP
              (VV 个｜e5)
              (IP
                (VP
                  (VCD
                    (VV 生-做｜senn1-tso3)
                    (VV 一-模-一-樣｜it4-boo5-it4-iunn7)))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"𪜶｜in1 兩｜nng7 个｜e5 兄-弟-仔｜hiann1-ti7-a2 為-著｜ui7-tioh8 拚｜piann3 生-理｜sing1-li2 ，｜, 就｜to7 按-呢｜an2-ne1 一-刀-兩-斷｜it4-to1-liong2-tuan7 無｜bo5 來-去｜lai5-khi3 。｜.
","['Nh', 'Neu', 'Nf', 'Na', 'P', 'VH', 'Na', 'PUNC', 'D', 'VH', 'Neu', 'D', 'D', 'PUNC']","(ROOT
  (IP
    (NP (PN 𪜶｜in1))
    (VP
      (NP
        (QP (CD 兩｜nng7) (CLP (M 个｜e5)))
        (NP (NN 兄-弟-仔｜hiann1-ti7-a2)))
      (AS 為-著｜ui7-tioh8)
      (VP
        (VP (VV 拚｜piann3))
        (VP
          (ADVP (AD 生-理｜sing1-li2))
          (PU ，｜,)
          (VP
            (NP
              (NP (NR 就｜to7))
              (NP (NN 按-呢｜an2-ne1) (NN 一-刀-兩-斷｜it4-to1-liong2-tuan7))
              (NP (NN 無｜bo5) (NN 來-去｜lai5-khi3)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"小-等-一-下｜sio2-tan2-tsit8-e7 。｜.
","['Na', 'PUNC']",(ROOT (IP (VP (NP (NN 小-等-一-下｜sio2-tan2-tsit8-e7))) (PU 。｜.))),"['規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"老-母｜lau7-bu2 一-下｜tsit8-e7 死｜si2 ，｜, 囡-仔｜gin2-a2 就｜to7 大-聲｜tua7-siann1 吼｜hau2 。｜.
","['Na', 'DE', 'VH', 'PUNC', 'Na', 'D', 'VH', 'VA', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 老-母｜lau7-bu2)
      (IP
        (VP
          (VP (VRD (VV 一-下｜tsit8-e7) (VV 死｜si2)))
          (PU ，｜,)
          (VP
            (VRD (VV 囡-仔｜gin2-a2) (VV 就｜to7))
            (VP (VRD (VV 大-聲｜tua7-siann1) (VV 吼｜hau2)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"氣｜khi3 一-下｜tsit8-e7 袂｜be7 講-話｜kong2-ue7 。｜.
","['VK', 'DE', 'D', 'VA', 'PUNC']","(ROOT
  (IP
    (DFL (MSP 氣｜khi3) (MSP 一-下｜tsit8-e7))
    (VP (MSP 袂｜be7) (VP (VV 講-話｜kong2-ue7)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜li2 一｜tsit8 月-日｜gueh8-jit8 趁｜than3 偌-濟｜gua7-tse7 錢｜tsinn5 ？｜?
","['Nh', 'Neu', 'Nf', 'VC', 'Neqa', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NN 你｜li2)
        (NN 一｜tsit8)
        (NN 月-日｜gueh8-jit8)
        (NN 趁｜than3)
        (NN 偌-濟｜gua7-tse7)
        (NN 錢｜tsinn5)))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜li2 毋-好｜m7-ho2 一-日-到-暗｜tsit8-jit8-kau3-am3 拋-拋-走｜pha1-pha1-tsau2 。｜.
","['Nh', 'D', 'D', 'VA', 'PUNC']","(ROOT
  (IP
    (IP
      (DFL (VV 你｜li2) (VV 毋-好｜m7-ho2))
      (VP
        (VRD
          (VV 一-日-到-暗｜tsit8-jit8-kau3-am3)
          (VV 拋-拋-走｜pha1-pha1-tsau2))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜li2 彩-券｜tshai2-kuan3 若｜na7 著｜tioh8 頭｜thau5 獎｜tsiong2 ，｜, 咱｜lan2 就｜to7 一-世-人｜tsit8-si3-lang5 食-穿｜tsiah8-tshing7 免｜bian2 煩-惱-矣｜huan5-lo2-ah4 。｜.
","['Nh', 'Na', 'Cbb', 'D', 'Na', 'Na', 'PUNC', 'Nh', 'D', 'Neu', 'VC', 'D', 'Na', 'PUNC']","(ROOT
  (IP
    (INC
      (CP
        (CP
          (IP
            (NP (NN 你｜li2))
            (VP
              (VP
                (VV 彩-券｜tshai2-kuan3)
                (NP
                  (NN 若｜na7)
                  (NN 著｜tioh8)
                  (NN 頭｜thau5)
                  (NN 獎｜tsiong2)))
              (PU ，｜,)
              (VP (VV 咱｜lan2) (AS 就｜to7))))
          (SP 一-世-人｜tsit8-si3-lang5))
        (SP 食-穿｜tsiah8-tshing7)
        (SP 免｜bian2)
        (SP 煩-惱-矣｜huan5-lo2-ah4)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"買｜be2 水-果｜tsui2-ko2 的｜e5 錢｜tsinn5 ，｜, 一｜tsit8 人｜lang5 愛｜ai3 出｜tshut4 一-半｜tsit8-puann3 。｜.
","['VC', 'Na', 'DE', 'Na', 'PUNC', 'Neu', 'Na', 'D', 'VC', 'Neqa', 'PUNC']","(ROOT
  (IP
    (NP (NN 買｜be2) (NN 水-果｜tsui2-ko2) (NN 的｜e5) (NN 錢｜tsinn5))
    (PU ，｜,)
    (VP
      (QP
        (QP (CD 一｜tsit8) (CD 人｜lang5) (CD 愛｜ai3) (CD 出｜tshut4))
        (QP (CD 一-半｜tsit8-puann3))))
    (PU 。｜.)))","['規則變調', '規則變調', '本調#', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"塗-跤｜thoo5-kha1 一-半-擺-仔｜tsit8-puann3-pai2-a2 無｜bo5 拭｜tshit4 ，｜, 袂｜be7 偌｜gua7 垃-圾-啦｜lah4-sap4-lah4 ！｜!
","['Na', 'Na', 'D', 'VC', 'PUNC', 'D', 'Dfa', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (IP
        (VP
          (VV 塗-跤｜thoo5-kha1)
          (IP
            (NP (NR 一-半-擺-仔｜tsit8-puann3-pai2-a2))
            (VP (VSB (VV 無｜bo5) (VV 拭｜tshit4))))))
      (PU ，｜,)
      (FLR (SP 袂｜be7) (SP 偌｜gua7))
      (VP (VA 垃-圾-啦｜lah4-sap4-lah4)))
    (PU ！｜!)))","['規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"今-仔-日｜kin1-a2-jit8 來｜lai5 上-班｜siong7-pan1 的｜e5 人｜lang5 才｜tsiah4 一-半-个-仔｜tsit8-puann3-e5-a2 爾-爾｜nia7-nia7 。｜.
","['Nd', 'D', 'VA', 'DE', 'Na', 'Da', 'Na', 'T', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NR 今-仔-日｜kin1-a2-jit8))
      (VP
        (VV 來｜lai5)
        (VP
          (VP (VV 上-班｜siong7-pan1))
          (VP (VV 的｜e5) (NP (NN 人｜lang5)))))
      (NP
        (ADVP (AD 才｜tsiah4))
        (NP (NN 一-半-个-仔｜tsit8-puann3-e5-a2) (NN 爾-爾｜nia7-nia7))))
    (PU 。｜.)))","['仔前變調&', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '本調#', '毋是台語']"
"頭-家｜thau5-ke1 人｜lang5 真｜tsin1 好｜ho2 ，｜, 我｜gua2 一-半-日-仔｜tsit8-puann3-jit8-a2 無｜bo5 去｜khi3 ，｜, 伊｜i1 嘛｜ma7 袂｜be7 按-怎｜an2-tsuann2 。｜.
","['Na', 'Na', 'Dfa', 'VH', 'PUNC', 'Nh', 'Di', 'D', 'D', 'PUNC', 'Nh', 'D', 'D', 'D', 'PUNC']","(ROOT
  (IP
    (IP (VP (AD 頭-家｜thau5-ke1)))
    (IP
      (VP
        (VP (ADVP (AD 人｜lang5)) (ADVP (AD 真｜tsin1)) (VP (VV 好｜ho2)))
        (PU ，｜,)
        (VP
          (VV 我｜gua2)
          (VP
            (VV 一-半-日-仔｜tsit8-puann3-jit8-a2)
            (VP (VV 無｜bo5) (VP (VV 去｜khi3)))))))
    (PU ，｜,)
    (IP
      (VP
        (ADVP (AD 伊｜i1))
        (ADVP (AD 嘛｜ma7))
        (ADVP (AD 袂｜be7))
        (VP (VV 按-怎｜an2-tsuann2))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '再變調$', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
