分詞,變調
"一｜tsi̍t
",['本調#']
"一｜it
",['本調#']
"一-刀-兩-斷｜it-to-lióng-tuān
","['規則變調', '規則變調', '規則變調', '本調#']"
"一-下｜tsi̍t-ē
","['規則變調', '本調#']"
"一｜tsi̍t 月-日｜gue̍h-ji̍t
","['規則變調', '規則變調', '本調#']"
"一-日-到-暗｜tsi̍t-ji̍t-kàu-àm
","['規則變調', '規則變調', '規則變調', '本調#']"
"一-世-人｜tsi̍t-sì-lâng
","['規則變調', '規則變調', '本調#']"
"一-半｜tsi̍t-puànn
","['規則變調', '本調#']"
"一-半-个-仔｜tsi̍t-puànn-ê-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"一-半-日-仔｜tsi̍t-puànn-ji̍t-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"一-四-界｜tsi̍t-sì-kè
","['規則變調', '規則變調', '本調#']"
"一-旦｜it-tàn
","['規則變調', '本調#']"
"一-生｜it-sing
","['規則變調', '本調#']"
"一-目-𥍉-仔｜tsi̍t-ba̍k-nih-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"一｜tsi̍t 甲-子｜kah-tsí
","['規則變調', '規則變調', '本調#']"
"一-百｜tsi̍t-pah 空-一｜khòng-it
","['規則變調', '規則變調', '規則變調', '本調#']"
"一-來｜it-lâi
","['規則變調', '本調#']"
"一-定｜it-tīng
","['規則變調', '本調#']"
"一-直｜it-ti̍t
","['規則變調', '本調#']"
"一-律｜it-lu̍t
","['規則變調', '本調#']"
"一-致｜it-tì
","['規則變調', '本調#']"
"一-面｜tsi̍t-bīn
","['規則變調', '本調#']"
"一-垺-屎｜tsi̍t-pû-sái
","['規則變調', '規則變調', '本調#']"
"一-屑-仔｜tsi̍t-sut-á
","['規則變調', '仔前變調&', '本調#']"
"一-家-伙-仔｜tsi̍t-ke-hué-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"一-般｜it-puann
","['規則變調', '本調#']"
"一-粒-一｜it-lia̍p-it
","['規則變調', '規則變調', '本調#']"
"一-睏-仔｜tsi̍t-khùn-á
","['規則變調', '仔前變調&', '本調#']"
"一-概｜it-khài
","['規則變調', '本調#']"
"一-路｜tsi̍t-lōo
","['規則變調', '本調#']"
"一-寡｜tsi̍t-kuá
","['規則變調', '本調#']"
"一-寡-仔｜tsi̍t-kuá-á
","['規則變調', '仔前變調&', '本調#']"
"一-對-時｜tsi̍t-tuì-sî
","['規則變調', '規則變調', '本調#']"
"一-霎-仔-久｜tsi̍t-tiap-á-kú
","['規則變調', '仔前變調&', '規則變調', '本調#']"
"一-點-仔｜tsi̍t-tiám-á
","['規則變調', '仔前變調&', '本調#']"
"一-礐-屎｜tsi̍t-ha̍k-sái
","['規則變調', '規則變調', '本調#']"
"一-觸-久-仔｜tsi̍t-tak-kú-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"乙｜it
",['本調#']
"丁｜ting
",['本調#']
"七｜tshit
",['本調#']
"九｜káu
",['本調#']
"九｜kiú
",['本調#']
"了｜liáu
",['本調#']
"二｜jī
",['本調#']
"人｜jîn
",['本調#']
"人｜lâng
",['本調#']
"入｜ji̍p
",['本調#']
"八｜pat
",['本調#']
"八｜peh
",['本調#']
"刀｜to
",['本調#']
"刁｜tiau
",['本調#']
"力｜la̍t
",['本調#']
"力｜li̍k
",['本調#']
"十｜tsa̍p
",['本調#']
"十｜si̍p
",['本調#']
"卜｜poh
",['本調#']
"卜｜pok
",['本調#']
"又｜iū
",['本調#']
"十-一-哥｜tsa̍p-it-ko
","['規則變調', '規則變調', '本調#']"
"了-了｜liáu-liáu
","['規則變調', '本調#']"
"了-了｜liáu-liáu
","['規則變調', '本調#']"
"人-人｜lâng-lâng
","['規則變調', '本調#']"
"十-二-分｜tsa̍p-jī-hun
","['規則變調', '規則變調', '本調#']"
"十-二｜tsa̍p-jī 生-相｜senn-siùnn
","['規則變調', '規則變調', '規則變調', '本調#']"
"十-二-指-腸｜si̍p-jī-tsí-tn̂g
","['規則變調', '規則變調', '規則變調', '本調#']"
"二-九-暝｜Jī-káu-mê
","['規則變調', '規則變調', '本調#']"
"十-八-骰-仔｜si̍p-pat-tâu-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"十-八-變｜tsa̍p-peh-piàn
","['規則變調', '規則變調', '本調#']"
"七-夕｜tshit-sia̍h
","['規則變調', '本調#']"
"了-工｜liáu-kang
","['規則變調', '本調#']"
"人-工｜lâng-kang
","['規則變調', '本調#']"
"人-才｜lâng-tsâi
","['規則變調', '本調#']"
"入-土｜ji̍p-thóo
","['規則變調', '本調#']"
"刁-工｜thiau-kang
","['規則變調', '本調#']"
"人-中｜jîn-tiong
","['規則變調', '本調#']"
"七-孔｜tshit-khóng
","['規則變調', '本調#']"
"九-孔｜káu-kháng
","['規則變調', '本調#']"
"二-手｜jī-tshiú
","['規則變調', '本調#']"
"入-木｜ji̍p-bo̍k
","['規則變調', '本調#']"
"八-仙｜pat-sian
","['規則變調', '本調#']"
"刀-仔｜to-á
","['仔前變調&', '本調#']"
"八-仙-桌｜pat-sian-toh
","['規則變調', '規則變調', '本調#']"
"八-仙-綵｜pat-sian-tshái
","['規則變調', '規則變調', '本調#']"
"刁-古-董｜tiau-kóo-tóng
","['規則變調', '規則變調', '本調#']"
"了-本｜liáu-pún
","['規則變調', '本調#']"
"人-民｜jîn-bîn
","['規則變調', '本調#']"
"人-生｜jîn-sing
","['規則變調', '本調#']"
"刀-石｜to-tsio̍h
","['規則變調', '本調#']"
"十-全｜tsa̍p-tsn̂g
","['規則變調', '本調#']"
"十-全｜si̍p-tsuân
","['規則變調', '本調#']"
"八-字｜peh-jī
","['規則變調', '本調#']"
"七-字-仔｜tshit-jī-á
","['規則變調', '仔前變調&', '本調#']"
"十-字-架｜si̍p-jī-kè
","['規則變調', '規則變調', '本調#']"
"八-字-跤｜pat-jī-kha
","['規則變調', '規則變調', '本調#']"
"十-字-路｜si̍p-jī-lōo
","['規則變調', '規則變調', '本調#']"
"七-早-八-早｜tshit-tsá-peh-tsá
","['規則變調', '規則變調', '規則變調', '本調#']"
"入-耳｜ji̍p-ní
","['規則變調', '本調#']"
"刀-肉｜to-bah
","['規則變調', '本調#']"
"七-老-八-老｜tshit-lāu-peh-lāu
","['規則變調', '規則變調', '規則變調', '本調#']"
"了-尾-仔-囝｜liáu-bué-á-kiánn
","['規則變調', '仔前變調&', '規則變調', '本調#']"
"二-步-七-仔｜jī-pōo-tshit-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"八-角｜peh-kak
","['規則變調', '本調#']"
"十-足｜tsa̍p-tsiok
","['規則變調', '本調#']"
"九-芎-仔｜kiú-kiong-á
","['規則變調', '仔前變調&', '本調#']"
"人-事｜jîn-sū
","['規則變調', '本調#']"
"八-卦｜pat-kuà
","['規則變調', '本調#']"
"卜-卦｜pok-kuà
","['規則變調', '本調#']"
"二-房｜jī-pâng
","['規則變調', '本調#']"
"人-物｜jîn-bu̍t
","['規則變調', '本調#']"
"十-花-五-色｜tsa̍p-hue-gōo-sik
","['規則變調', '規則變調', '規則變調', '本調#']"
"入-門｜ji̍p-mn̂g
","['規則變調', '本調#']"
"人-客｜lâng-kheh
","['規則變調', '本調#']"
"了-後｜liáu-āu
","['規則變調', '本調#']"
"七-星｜tshit-tshenn
","['規則變調', '本調#']"
"二-指｜jī-tsáinn
","['規則變調', '本調#']"
"刁-持｜tiau-tî
","['規則變調', '本調#']"
"刁-故-意｜tiau-kòo-ì
","['規則變調', '規則變調', '本調#']"
"刀-柄｜to-pènn
","['規則變調', '本調#']"
"八-珍｜pat-tin
","['規則變調', '本調#']"
"人-面｜lâng-bīn
","['規則變調', '本調#']"
"人-倫｜jîn-lûn
","['規則變調', '本調#']"
"人-員｜jîn-uân
","['規則變調', '本調#']"
"入-厝｜ji̍p-tshù
","['規則變調', '本調#']"
"七-娘-媽｜Tshit-niû-má
","['規則變調', '規則變調', '本調#']"
"七-娘-媽-生｜Tshit-niû-má-senn
","['規則變調', '規則變調', '規則變調', '本調#']"
"人-家｜jîn-ke
","['規則變調', '本調#']"
"人-家-厝-仔｜jîn-ke-tshù-á
","['規則變調', '規則變調', '仔前變調&', '本調#']"
"八-家-將｜pat-ka-tsiòng
","['規則變調', '規則變調', '本調#']"
"人-格｜jîn-keh
","['規則變調', '本調#']"
"人-氣｜jîn-khì
","['規則變調', '本調#']"
"刀-砧｜to-tiam
","['規則變調', '本調#']"
"人-馬｜jîn-má
","['規則變調', '本調#']"
"入-院｜ji̍p-īnn
","['規則變調', '本調#']"
"人-參｜jîn-sim
","['規則變調', '本調#']"
"人-情｜jîn-tsîng
","['規則變調', '本調#']"
"人-情-世-事｜jîn-tsîng-sè-sū
","['規則變調', '規則變調', '規則變調', '本調#']"
"入-教｜ji̍p-kàu
","['規則變調', '本調#']"
"人-望｜jîn-bōng
","['規則變調', '本調#']"
"人-造｜jîn-tsō
","['規則變調', '本調#']"
"刀-喙｜to-tshuì
","['規則變調', '本調#']"
"入-場｜ji̍p-tiûnn
","['規則變調', '本調#']"
"了-然｜liáu-jiân
","['規則變調', '本調#']"
"力-量｜li̍k-liōng
","['規則變調', '本調#']"
"刁-意-故｜thiau-ì-kòo
","['規則變調', '規則變調', '本調#']"
"七-爺｜Tshit-iâ
","['規則變調', '本調#']"
"刀-銎｜to-khing
","['規則變調', '本調#']"
"又-閣｜iū-koh
","['規則變調', '本調#']"
"人-影｜lâng-iánn
","['規則變調', '本調#']"
"九-層-塔｜káu-tsàn-thah
","['規則變調', '規則變調', '本調#']"
"人-範｜lâng-pān
","['規則變調', '本調#']"
"人-緣｜lâng-iân
","['規則變調', '本調#']"
"入-學｜ji̍p-o̍h
","['規則變調', '本調#']"
"入-選｜ji̍p-suán
","['規則變調', '本調#']"
"了-錢｜liáu-tsînn
","['規則變調', '本調#']"
"人-頭｜lâng-thâu
","['規則變調', '本調#']"
"力-頭｜la̍t-thâu
","['規則變調', '本調#']"
"入-殮｜ji̍p-liām
","['規則變調', '本調#']"
"入-聲｜ji̍p-siann
","['規則變調', '本調#']"
"刁-難｜thiau-lân
","['規則變調', '本調#']"
"人-權｜jîn-khuân
","['規則變調', '本調#']"
"丈｜tn̄g
",['本調#']
