分詞,詞性,句法,變調
"十-八｜Tsa̍p-peh 一｜tsi̍t 蕊｜luí 花｜hue ，｜,
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (DFL (CD 十-八｜Tsa̍p-peh))
        (QP (CD 一｜tsi̍t) (CLP (M 蕊｜luí)))
        (NP (NN 花｜hue))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"作｜Tsok 者｜tsiá ，｜,
","['Na', 'Na', 'PUNC']","(ROOT (IP (VP (VV 作｜Tsok) (NP (NN 者｜tsiá))) (PU ，｜,)))","['規則變調', '本調#', '毋是台語']"
"王｜Ông 秀｜siù 容｜iông
","['Na', 'Na', 'Na']",(ROOT (IP (NP (NP (NR 王｜Ông)) (NP (NN 秀｜siù))) (VP (VV 容｜iông)))),"['規則變調', '規則變調', '本調#']"
"查｜Tsá 某-人｜bô-lâng 十-八-變｜tsa̍p-peh-piàn
","['Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VP (VV 查｜Tsá) (NP (NN 某-人｜bô-lâng)))
      (VP (VV 十-八-變｜tsa̍p-peh-piàn)))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"我｜Guá 佮｜kah 十-八｜tsa̍p-peh 足｜tsiok 有-緣｜ū-iân ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 我｜Guá))
    (VP
      (VP (VV 佮｜kah) (NP (QP (CD 十-八｜tsa̍p-peh)) (NP (NN 足｜tsiok))))
      (VP (VV 有-緣｜ū-iân)))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"毋-管｜M̄-kuán 他｜thann 鄉｜hiong
","['Na', 'Na', 'Na']",(ROOT (IP (VP (VV 毋-管｜M̄-kuán) (NP (PN 他｜thann) (NN 鄉｜hiong))))),"['規則變調', '規則變調', '規則變調', '本調#']"
"故-鄉｜Kòo-hiong
",['Na'],(ROOT (NP (NN 故-鄉｜Kòo-hiong))),"['規則變調', '本調#']"
"欲｜Beh 用｜iōng 十-八｜tsa̍p-peh 歲｜huè 的｜ê 熱-情｜jia̍t-tsîng
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VV 欲｜Beh)
      (VP
        (VV 用｜iōng)
        (NP
          (DNP (QP (CD 十-八｜tsa̍p-peh) (CLP (M 歲｜huè))) (DEG 的｜ê))
          (NP (NN 熱-情｜jia̍t-tsîng)))))))","['再變調$', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#']"
"予｜Hōo 母-語｜bú-gí 永-遠｜íng-uán 展｜tián 光-明｜kong-bîng ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (IP (VP (VV 予｜Hōo) (NP (NN 母-語｜bú-gí))))
      (VP
        (ADVP (AD 永-遠｜íng-uán))
        (VP (VV 展｜tián) (NP (NN 光-明｜kong-bîng)))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"聽｜Thiann 歌｜kua 唱-歌｜tshiùnn-kua 趣-味｜tshù-bī 濟｜tsē ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 聽｜Thiann)
      (IP
        (NP
          (NP (NN 歌｜kua) (NN 唱-歌｜tshiùnn-kua))
          (NP (NN 趣-味｜tshù-bī)))
        (VP (VV 濟｜tsē))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"予-我｜Hōo-guá 永-遠｜íng-uán 十-八｜tsa̍p-peh 歲｜huè ，｜,
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 予-我｜Hōo-guá))
    (VP
      (ADVP (AD 永-遠｜íng-uán))
      (VP (QP (CD 十-八｜tsa̍p-peh) (CLP (M 歲｜huè)))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"有-人｜Ū-lâng 唱｜tshiònn 國｜kok 語｜gí
","['Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP (NN 有-人｜Ū-lâng))
    (VP (VV 唱｜tshiònn) (NP (NP (NN 國｜kok)) (NP (NN 語｜gí))))))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"十｜Si̍p 八｜pa 的｜tik 姑｜koo 娘｜niâ 一｜it 朵｜朵 花｜hua 呀｜呀 一｜It 朵｜朵 花｜hua
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (NP
    (NP
      (CD 十｜Si̍p)
      (NP
        (DNP (QP (CD 八｜pa)) (DEG 的｜tik))
        (NP (NN 姑｜koo) (NN 娘｜niâ)))
      (QP (CD 一｜it) (CLP (M 朵｜朵)))
      (NP (NN 花｜hua)))
    (FLR (SP 呀｜呀))
    (QP (CD 一｜It) (CLP (M 朵｜朵)))
    (NP (NN 花｜hua))))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '毋是台語', '規則變調', '毋是台語', '本調#']"
"有-人｜Ū-lâng 唱｜tshiūnn 臺-語｜tâi-gí
","['Na', 'Na', 'Na']","(ROOT
  (IP (NP (NN 有-人｜Ū-lâng)) (VP (VV 唱｜tshiūnn) (NP (NN 臺-語｜tâi-gí)))))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"十-八｜Tsa̍p-peh 姑-娘｜koo-niû 一｜tsi̍t 蕊｜luí 花｜hue 一｜Tsi̍t 蕊｜luí 花｜hue
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP (QP (CD 十-八｜Tsa̍p-peh)) (NP (NN 姑-娘｜koo-niû)))
    (VP
      (QP (CD 一｜tsi̍t) (CLP (M 蕊｜luí)))
      (VP
        (VV 花｜hue)
        (NP (QP (CD 一｜Tsi̍t) (CLP (M 蕊｜luí))) (NP (NN 花｜hue)))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"有｜Ū 原-住-民｜guân-tsū-bîn 歌｜kua 謠｜iâu
","['Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VE 有｜Ū)
      (NP (NP (NN 原-住-民｜guân-tsū-bîn) (NN 歌｜kua)) (NP (NN 謠｜iâu))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"有｜Iú 一｜it 位｜uī 姑｜koo 娘｜niâ 呀｜呀 十｜si̍p 呀｜呀 十｜si̍p 七｜tshi 八｜pa
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (QP
    (CP
      (IP
        (VP
          (VE 有｜Iú)
          (NP
            (QP (CD 一｜it) (CLP (M 位｜uī)))
            (NP (NN 姑｜koo) (NN 娘｜niâ)))))
      (SP 呀｜呀))
    (QP
      (QP (CD 十｜si̍p))
      (FLR (SP 呀｜呀))
      (QP (QP (CD 十｜si̍p) (CD 七｜tshi)) (QP (CD 八｜pa))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '毋是台語', '規則變調', '規則變調', '本調#']"
"十-七｜Tsa̍p-tshit 八｜peh 歲｜huè 媠｜suí 甲｜kah 親-像｜tshin-tshiūnn 一｜tsi̍t 蕊｜luí 花｜hue ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (CD 十-七｜Tsa̍p-tshit)
      (QP (CD 八｜peh) (CLP (M 歲｜huè)))
      (NP (NN 媠｜suí)))
    (VP
      (VV 甲｜kah)
      (IP
        (VP
          (P 親-像｜tshin-tshiūnn)
          (NP (QP (CD 一｜tsi̍t) (CLP (M 蕊｜luí))) (NP (NN 花｜hue))))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"有｜Ū 臺｜tâi 灣｜uan 歌｜kua 謠｜iâu 望｜bāng 春-風｜tshun-hong
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VE 有｜Ū)
      (IP
        (NP
          (NP (NP (NR 臺｜tâi)) (NP (NN 灣｜uan)))
          (NP (NN 歌｜kua) (NN 謠｜iâu)))
        (VP (VV 望｜bāng) (NP (NN 春-風｜tshun-hong)))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"十-七｜Tsa̍p-tshit 八｜peh 歲｜huè 未｜bē 出-嫁｜tshut-kè
","['Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (QP (CD 十-七｜Tsa̍p-tshit) (QP (CD 八｜peh) (CLP (M 歲｜huè))))
    (VP (ADVP (AD 未｜bē)) (VP (VV 出-嫁｜tshut-kè)))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"就｜Tiō 親｜tshinn 像｜tshiūnn 我｜guá ，｜,
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 就｜Tiō))
      (VP (VV 親｜tshinn) (IP (VP (P 像｜tshiūnn) (NP (PN 我｜guá))))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"對｜Tuì 故-鄉｜kòo-hiong 的｜ê 記-持｜kì-tî 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (DNP (PP (P 對｜Tuì) (NP (NN 故-鄉｜kòo-hiong))) (DEG 的｜ê))
        (NP (NN 記-持｜kì-tî))))
    (PU 。｜.)))","['規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"永-遠｜Íng-uán 停｜thîng 佇｜tī 離｜li 開｜khui 故-鄉｜kòo-hiong 的｜ê 十-八｜tsa̍p-peh
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (ADVP (AD 永-遠｜Íng-uán))
      (VP
        (VP (VV 停｜thîng) (NP (NN 佇｜tī)))
        (PP
          (P 離｜li)
          (QP
            (CP
              (IP (VP (VV 開｜khui) (NP (NN 故-鄉｜kòo-hiong))))
              (DEC 的｜ê))
            (QP (CD 十-八｜tsa̍p-peh))))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#']"
"高-雄｜Ko-sióng 蹛｜tuā 十-八｜tsa̍p-peh 冬｜tang ，｜,
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (FRAG
    (NP
      (NP (NR 高-雄｜Ko-sióng) (NR 蹛｜tuā))
      (QP (CD 十-八｜tsa̍p-peh))
      (NP (NN 冬｜tang)))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"予-我｜Hōo-guá 母-語｜bú-gí 的｜ê 養｜ióng 份｜hūn 飽-滇｜pá-tīnn
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP (PN 予-我｜Hōo-guá))
    (VP
      (DNP (NP (NN 母-語｜bú-gí)) (DEC 的｜ê))
      (VP
        (VV 養｜ióng)
        (NP (QP (CLP (M 份｜hūn))) (NP (NN 飽-滇｜pá-tīnn)))))))","['規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"會｜Ē 當｜tang 編｜pian 織｜tsit 母-語｜bú-gí 的｜ê 夢｜bāng
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VV 會｜Ē)
      (VP
        (VV 當｜tang)
        (VP
          (VV 編｜pian)
          (NP
            (CP (IP (VP (VV 織｜tsit) (NP (NN 母-語｜bú-gí)))) (DEC 的｜ê))
            (NP (NN 夢｜bāng))))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '本調#']"
"遐｜Hia
",['Na'],(ROOT (NP (NN 遐｜Hia))),['本調#']
"一-直｜It-ti̍t 是｜sī 足｜tsiok 濟｜tsè 人｜lâng 的｜ê 新｜sin 故-鄉｜kòo-hiong
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (ADVP (AD 一-直｜It-ti̍t))
      (VP
        (VC 是｜sī)
        (NP
          (CP
            (IP (NP (NN 足｜tsiok)) (VP (VV 濟｜tsè) (NP (NN 人｜lâng))))
            (DEC 的｜ê))
          (ADJP (JJ 新｜sin))
          (NP (NN 故-鄉｜kòo-hiong)))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '本調#']"
"自｜Tsū 細-漢｜sè-hàn ，｜,
","['Na', 'Na', 'PUNC']","(ROOT (IP (PP (P 自｜Tsū) (NP (NR 細-漢｜sè-hàn))) (PU ，｜,)))","['規則變調', '規則變調', '本調#', '毋是台語']"
"大｜Tāi 陳｜tîn 仔｜á 、｜,
","['Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP (NP (ADJP (JJ 大｜Tāi)) (NP (NR 陳｜tîn)) (NP (NN 仔｜á))) (PU 、｜,)))","['規則變調', '仔前變調&', '本調#', '毋是台語']"
"客｜Kheh 人｜lâng 仔｜á 、｜.
","['Na', 'Na', 'Na', 'Na']",(ROOT (IP (NP (NP (NN 客｜Kheh) (NN 人｜lâng)) (NP (NN 仔｜á))) (PU 、｜.))),"['規則變調', '仔前變調&', '本調#', '毋是台語']"
"傀-儡｜Ka-lé 仔｜ah ，｜,
","['Na', 'Na', 'PUNC']","(ROOT (FRAG (NP (NN 傀-儡｜Ka-lé) (NN 仔｜ah)) (PU ，｜,)))","['規則變調', '仔前變調&', '本調#', '毋是台語']"
"失-禮｜Sit-lé
",['Na'],(ROOT (NP (NN 失-禮｜Sit-lé))),"['規則變調', '本調#']"
"遮｜Tsiah 的｜ê 詞｜sû 用｜iōng 仔｜ah 無-禮-貌｜bô-lé-māu
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP (CP (IP (VP (VV 遮｜Tsiah))) (DEC 的｜ê)) (NP (NN 詞｜sû)))
    (VP (P 用｜iōng) (NP (NN 仔｜ah) (NN 無-禮-貌｜bô-lé-māu)))))","['本調#', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#']"
"攏｜Lóng 是｜sī 過-去｜kuè-khì 的｜ê 傷｜siong 悲｜pi ，｜, 這｜Tsit 馬｜ma 無-人｜bô-lâng 遐｜hia 各-馝｜kok-pih 無｜bô 義-理｜gī-lí
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (IP
      (VP
        (VV 攏｜Lóng)
        (IP
          (VP
            (VC 是｜sī)
            (NP
              (DNP (NP (NT 過-去｜kuè-khì)) (DEG 的｜ê))
              (NP (NN 傷｜siong) (NN 悲｜pi)))))))
    (PU ，｜,)
    (IP
      (NP
        (NP
          (NP (DP (DT 這｜Tsit)) (NP (NN 馬｜ma)))
          (ADJP (JJ 無-人｜bô-lâng))
          (NP (NN 遐｜hia)))
        (NP (NN 各-馝｜kok-pih)))
      (VP (VE 無｜bô) (NP (NN 義-理｜gī-lí))))))","['規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"因｜In 為｜uî 逐-家｜ta̍k-ke 攏｜lóng 是｜sī 臺｜tâi 灣｜uan 人｜lâng ，｜, 啉｜Lim 臺｜tâi 灣｜uan 水｜tsuí 食｜tsiā 臺｜tâi 灣｜uan 米｜bí
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (PP
        (P 因｜In)
        (IP
          (VP
            (PP
              (P 為｜uî)
              (IP (VP (ADVP (AD 逐-家｜ta̍k-ke)) (VP (VV 攏｜lóng)))))
            (VP
              (VC 是｜sī)
              (NP
                (NP (NP (NR 臺｜tâi)) (NP (NN 灣｜uan)))
                (NP (NN 人｜lâng)))))))
      (PU ，｜,)
      (VP
        (VP (VV 啉｜Lim) (NP (NR 臺｜tâi)))
        (VP (VV 灣｜uan) (NP (NN 水｜tsuí)))
        (IP
          (VP (VV 食｜tsiā) (NP (NR 臺｜tâi)))
          (NP (NN 灣｜uan) (NN 米｜bí)))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"兒｜Jī 時｜sì 記｜khí 持｜tì
","['Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (LCP (NP (NN 兒｜Jī)) (LC 時｜sì))
      (VP (VCD (VV 記｜khí) (VV 持｜tì))))))","['規則變調', '規則變調', '規則變調', '本調#']"
"鄉-里｜Hiunn-lí 母-語｜bú-gí ，｜, 予-我｜Hōo-guá 永-遠｜íng-uán 青-春｜tshing-tshun 有｜ū 志-氣｜tsì-khì
","['Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP (NN 鄉-里｜Hiunn-lí) (NN 母-語｜bú-gí))
    (PU ，｜,)
    (NP (PN 予-我｜Hōo-guá))
    (ADVP (AD 永-遠｜íng-uán))
    (NP (NN 青-春｜tshing-tshun))
    (VP (VE 有｜ū) (NP (NN 志-氣｜tsì-khì)))))","['規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
